WELLNAME = well95
STDEP  =  3000.0000    
ENDEP  =  4137.0313    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, DEN, GR, RT, SP

#DEPTH       AC           CAL          DEN          GR           RT           SP           
3036.8750    47.5633      21.6130      0.0000       14.5023      1023.8426    91.2230      
3037.0000    47.2492      21.6144      0.0000       12.4139      993.9807     91.2240      
3037.1250    47.0559      21.6160      0.0000       13.7445      1009.2036    91.2249      
3037.2500    46.9592      21.6168      0.0000       15.1384      1009.4758    91.2259      
3037.3750    46.9592      21.6187      0.0000       16.7856      1093.9410    91.2269      
3037.5000    46.9833      21.6197      0.0000       12.9245      1180.2991    91.2875      
3037.6250    47.0316      21.6208      0.0000       14.6984      1299.4604    91.3084      
3037.7500    47.0799      21.6224      0.0000       15.0793      1424.7124    91.3093      
3037.8750    47.2247      21.5763      0.0000       13.6239      1557.4014    91.3104      
3038.0000    47.2730      21.5621      0.0000       11.6622      1057.4839    91.3118      
3038.1250    47.3454      21.5633      0.0000       12.3597      813.6445     91.3126      
3038.2500    47.3937      21.6123      0.0000       13.2471      761.2419     91.3729      
3038.3750    47.4661      21.6293      0.0000       14.9577      755.3396     91.3938      
3038.5000    47.5627      21.6785      0.0000       16.3516      835.0042     91.4543      
3038.6250    47.5868      21.7431      0.0000       14.0732      955.3104     91.4757      
3038.7500    47.6833      21.8078      0.0000       16.1006      1005.1718    91.4765      
3038.8750    47.7316      21.8727      0.0000       14.0119      780.3632     91.4772      
3039.0000    47.8523      21.9372      0.0000       15.5326      541.9752     91.4781      
3039.1250    47.9489      22.0018      0.0000       18.8896      462.1646     91.5386      
3039.2500    48.0937      22.0191      0.0000       18.5106      503.5289     91.5595      
3039.3750    48.1902      22.0685      0.0000       15.4091      565.8655     91.5016      
3039.5000    48.2385      22.0856      0.0000       15.1568      536.6213     91.4826      
3039.6250    48.3833      22.1346      0.0000       16.9310      455.9800     91.4835      
3039.7500    48.4316      22.1518      0.0000       18.1981      410.9566     91.4845      
3039.8750    48.4557      22.1532      0.0000       15.6665      384.9241     91.4855      
3040.0000    48.3831      22.2020      0.0000       15.6674      415.3445     91.4271      
3040.1250    48.2623      22.2193      0.0000       15.0987      459.8604     91.3493      
3040.2500    48.1415      22.2204      0.0000       15.7327      487.8679     91.2712      
3040.3750    48.1173      22.1743      0.0000       14.2140      418.2806     91.2524      
3040.5000    48.1414      22.1601      0.0000       12.3787      422.1906     91.2534      
3040.6250    48.3345      22.1616      0.0000       14.5960      398.3877     91.1955      
3040.7500    48.6484      22.1151      0.0000       17.1300      367.1478     91.1765      
3040.8750    48.8898      22.1007      0.0000       21.2470      336.3572     91.1774      
3041.0000    49.1070      22.1024      0.0000       19.7917      343.1504     91.1785      
3041.1250    48.9862      22.1037      0.0000       19.2863      320.7308     91.1202      
3041.2500    48.8895      22.1049      0.0000       18.9071      300.4305     91.1015      
3041.3750    48.8895      22.1062      0.0000       17.7050      283.4245     91.0432      
3041.5000    48.9618      22.1077      0.0000       17.3261      265.8168     91.0245      
3041.6250    49.1549      22.1090      0.0000       19.2903      250.4810     90.9665      
3041.7500    49.3479      22.0632      0.0000       17.2649      236.0438     90.9475      
3041.8750    49.5168      21.9540      0.0000       16.6960      219.8687     90.9485      
3042.0000    49.5168      21.8760      0.0000       18.2168      203.5878     90.8901      
3042.1250    49.4201      21.7666      0.0000       20.1811      194.9557     90.8714      
3042.2500    49.3235      21.6887      0.0000       16.8258      188.0421     90.8136      
3042.3750    49.2268      21.6271      0.0000       18.9166      187.8624     90.7946      
3042.5000    49.1785      21.5648      0.0000       20.5641      202.0098     90.7955      
3042.6250    49.1301      21.5028      0.0000       22.5917      212.8404     90.7968      
3042.7500    49.0818      21.5362      0.0000       20.6296      215.0838     90.7976      
3042.8750    49.1782      21.5532      0.0000       22.1506      224.3677     90.7984      
3043.0000    49.6609      21.5547      0.0000       21.3282      238.6450     90.7997      
3043.1250    49.8057      21.6036      0.0000       22.7859      225.9694     90.8008      
3043.2500    50.1918      21.6684      0.0000       23.0403      211.9014     90.7424      
3043.3750    50.5296      21.7804      0.0000       19.8115      208.9642     90.7236      
3043.5000    50.7226      21.9559      0.0000       16.7093      202.0269     90.7249      
3043.6250    50.7225      22.1475      0.0000       16.2669      199.2516     90.6665      
3043.7500    50.5776      22.2913      0.0000       15.6981      213.4839     90.5884      
3043.8750    50.2396      22.4195      0.0000       16.5859      230.8034     90.5696      
3044.0000    49.8051      22.4524      0.0000       17.9170      244.6974     90.5111      
3044.1250    49.2740      22.5015      0.0000       18.8678      266.1512     90.3738      
3044.2500    48.9843      22.5191      0.0000       17.7922      282.4622     90.3352      
3044.3750    49.0808      22.5205      0.0000       18.8064      246.2986     90.2768      
3044.5000    49.0807      22.4744      0.0000       17.6041      214.3489     90.1985      
3044.6250    49.0324      22.4598      0.0000       20.4553      211.3143     90.1206      
3044.7500    48.9358      22.4617      0.0000       21.0898      229.5862     90.0424      
