WELLNAME = well120
STDEP  =  3500.0000    
ENDEP  =  4473.9688    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, GR, P_AC, R1, RT, RXO, SONPHI, SP, VSH, VSH1

#DEPTH       AC           CAL          GR           P_AC         R1           RT           RXO          SONPHI       SP           VSH          VSH1         
3516.6250    50.8684      23.2419      29.5920      49.8813      16.0479      242.9778     302.9740     0.0000       92.8655      0.0000       0.0000       
3516.7500    50.8240      23.2460      29.0647      49.8567      15.9424      259.5666     315.8422     0.0000       93.1072      0.0000       0.0000       
3516.8750    50.9805      23.2486      29.4220      49.9434      15.7671      244.4695     311.9012     0.0000       93.2616      0.0000       0.0000       
3517.0000    51.8524      23.2323      30.7401      50.4261      15.5320      196.5650     258.6698     0.0000       93.4157      0.0000       0.0000       
3517.1250    52.5127      23.2292      29.0749      50.7916      15.3665      150.9788     210.1037     0.0000       93.6016      0.0000       0.0000       
3517.2500    51.3431      23.2322      27.1575      50.1441      15.3240      141.4103     190.8960     0.0000       93.8193      0.0000       0.0000       
3517.3750    50.3668      23.2174      24.1027      49.6036      15.3511      168.3529     191.9855     0.0000       94.0922      0.0000       0.0000       
3517.5000    50.2148      23.2137      24.1316      49.5195      15.3529      202.9099     224.5942     0.0000       94.4043      0.0000       0.0000       
3517.6250    50.3353      23.1974      25.7527      49.5862      15.3326      258.8828     266.1024     0.0000       94.7485      0.0000       0.0000       
3517.7500    50.4508      23.2138      27.0955      49.6501      15.3280      306.3140     305.7961     0.0000       95.0058      0.0000       0.0000       
3517.8750    50.4541      23.2425      27.3773      49.6520      15.3771      337.9548     344.7402     0.0000       95.1603      0.0000       0.0000       
3518.0000    50.3033      23.2718      26.5464      49.5685      15.4992      379.9634     388.8092     0.0000       95.2906      0.0000       0.0000       
3518.1250    50.1048      23.2805      26.0696      49.4586      15.6209      438.6501     433.4838     0.0000       95.3974      0.0000       0.0000       
3518.2500    50.0429      23.2841      28.0442      49.4243      15.7838      480.3025     472.8905     0.0000       95.4730      0.0000       0.0000       
3518.3750    50.3082      23.3056      30.0949      49.5712      15.9436      460.3980     510.1765     0.0000       95.5407      0.0000       0.0000       
3518.5000    50.6276      23.3142      28.9104      49.7480      16.0306      306.4352     381.5879     0.0000       95.5849      0.0000       0.0000       
3518.6250    51.0031      23.3369      29.2681      49.9559      16.0387      234.4166     304.9744     0.0000       95.5966      0.0000       0.0000       
3518.7500    51.3659      23.3650      30.8634      50.1567      15.9237      166.0490     257.2920     0.0000       95.6022      0.0000       0.0000       
3518.8750    51.7539      23.3742      29.7041      50.3715      15.7360      131.8577     207.3852     0.0000       95.6056      0.0000       0.0000       
