WELLNAME = well68
STDEP  =  3000.0000    
ENDEP  =  4946.0000    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, GR, R1, RT, RXO, SONPHI, SP, VSH

#DEPTH       AC           CAL          GR           R1           RT           RXO          SONPHI       SP           VSH          
3019.2500    48.4743      22.9540      24.0030      29.6654      802.6116     -99999.0000  0.0140       137.7939     0.1000       
3019.3750    48.7371      22.9766      25.8845      29.5367      898.5457     -99999.0000  0.0165       137.7902     0.1135       
3019.5000    49.0773      22.7642      24.1529      29.3571      995.5297     -99999.0000  0.0197       137.7561     0.1011       
3019.6250    48.7020      22.5577      25.5256      29.8529      1066.2749    -99999.0000  0.0162       137.7214     0.1109       
3019.7500    48.5297      22.4592      25.7278      29.8898      947.4922     -99999.0000  0.0146       137.6865     0.1123       
3019.8750    48.5605      22.4489      24.1487      29.8250      744.9618     -99999.0000  0.0148       137.6509     0.1011       
3020.0000    48.6586      22.3588      21.0168      29.7585      564.4407     -99999.0000  0.0158       137.9193     0.0787       
3020.1250    49.0568      22.1457      23.1251      29.6546      416.2165     -99999.0000  0.0195       137.9440     0.0938       
3020.2500    49.3966      22.0802      23.8607      29.6533      364.4087     -99999.0000  0.0226       137.9413     0.0990       
3020.3750    49.5431      22.0593      23.9098      29.6394      374.1336     -99999.0000  0.0239       137.9059     0.0994       
3020.5000    49.5734      22.0573      24.3909      29.5871      407.0844     -99999.0000  0.0242       137.8707     0.1028       
3020.6250    49.5170      22.0555      25.6096      29.4839      441.1278     -99999.0000  0.0237       137.8038     0.1115       
3020.7500    49.4989      22.0471      23.7009      29.3678      470.9897     -99999.0000  0.0235       137.6729     0.0979       
3020.8750    49.4519      22.0261      23.3940      29.2518      507.2769     -99999.0000  0.0231       137.5734     0.0957       
3021.0000    49.3275      22.0241      20.7479      29.1358      563.7197     -99999.0000  0.0220       137.6029     0.0768       
3021.1250    49.1644      22.0346      21.7630      29.0324      653.9551     -99999.0000  0.0205       137.5995     0.0840       
3021.2500    48.9432      22.0963      24.6850      28.9419      751.8658     -99999.0000  0.0184       137.5960     0.1049       
3021.3750    48.6642      22.1896      26.7429      28.8768      847.8870     -99999.0000  0.0158       137.5604     0.1196       
3021.5000    48.4721      22.2574      27.5545      28.8501      989.1154     -99999.0000  0.0140       137.5247     0.1254       
3021.6250    48.3187      22.3062      25.1119      28.7979      1181.3845    -99999.0000  0.0126       137.4909     0.1079       
3021.7500    48.2040      22.3298      23.2795      28.7712      1312.4216    -99999.0000  0.0115       137.4552     0.0949       
3021.8750    48.1957      22.2961      22.7181      28.7189      1298.2242    -99999.0000  0.0114       137.3876     0.0908       
3022.0000    48.3809      22.3385      21.6995      28.6029      1418.7080    -99999.0000  0.0132       137.3529     0.0836       
3022.1250    48.6239      22.4636      23.7825      28.4614      1435.2603    -99999.0000  0.0154       137.2859     0.0984       
3022.2500    48.8863      22.6521      22.5094      28.2944      1596.5703    -99999.0000  0.0179       137.1855     0.0894       
3022.3750    48.6847      22.7962      23.2449      28.1783      1766.6714    -99999.0000  0.0160       137.1523     0.0946       
3022.5000    48.5409      22.9021      20.0140      28.2152      1922.8199    -99999.0000  0.0147       136.9875     0.0715       
3022.6250    48.5132      22.9320      21.0292      28.2778      1714.5186    -99999.0000  0.0144       136.9542     0.0788       
3022.7500    48.5920      22.8855      18.6370      28.3531      1483.7310    -99999.0000  0.0151       136.8215     0.0617       
3022.8750    48.6417      22.7757      20.2373      28.4410      1320.7097    -99999.0000  0.0156       136.7884     0.0731       
3023.0000    48.6431      22.6530      21.3797      28.5160      1195.5873    -99999.0000  0.0156       136.7211     0.0813       
3023.1250    48.5865      22.5493      25.5985      28.5534      1102.4778    -99999.0000  0.0151       136.6863     0.1114       
3023.2500    48.4523      22.4583      26.3594      28.5905      1024.4463    -99999.0000  0.0138       136.6828     0.1169       
3023.3750    48.2216      22.4059      25.0355      28.6019      1086.0236    -99999.0000  0.0117       136.6800     0.1074       
3023.5000    47.9908      22.3658      24.0929      28.6136      1257.9316    -99999.0000  0.0095       136.7083     0.1007       
3023.6250    47.7793      22.3701      21.7773      28.6378      1423.3545    -99999.0000  0.0075       136.6732     0.0841       
3023.7500    47.6840      22.4062      23.0977      28.6367      1578.2886    -99999.0000  0.0066       136.6065     0.0936       
3023.8750    47.6853      22.4932      22.8671      28.6354      1636.1227    -99999.0000  0.0066       136.4111     0.0919       
3024.0000    47.8510      22.5739      29.2726      28.6342      1682.7333    -99999.0000  0.0082       136.2806     0.1377       
3024.1250    47.9491      22.5337      28.4063      28.6330      1765.5979    -99999.0000  0.0091       136.0853     0.1315       
3024.2500    47.9117      22.5190      28.9893      28.5807      1988.7656    -99999.0000  0.0087       136.0513     0.1356       
3024.3750    47.8260      22.4917      25.6566      28.5413      2248.0762    -99999.0000  0.0079       135.9520     0.1118       
3024.5000    47.7016      22.5341      26.4431      28.5018      2700.2905    -99999.0000  0.0067       135.8849     0.1175       
3024.6250    47.6159      22.5574      25.3987      28.4877      2463.4980    -99999.0000  0.0059       135.8822     0.1100       
3024.7500    47.5786      22.5808      24.2019      28.4737      2126.1338    -99999.0000  0.0056       135.8149     0.1014       
3024.8750    47.6379      22.5981      21.6828      28.4853      1873.6565    -99999.0000  0.0061       135.8117     0.0834       
3025.0000    47.8424      22.5897      23.2320      28.5478      928.6025     -99999.0000  0.0081       135.7447     0.0945       
3025.1250    48.1049      22.5561      25.7729      28.5594      622.8467     -99999.0000  0.0106       135.7091     0.1127       
3025.2500    48.4834      22.4968      24.0674      28.5071      436.0922     -99999.0000  0.0141       135.7065     0.1005       
3025.3750    48.9684      22.4315      27.1677      28.4165      364.7896     -99999.0000  0.0186       135.7025     0.1226       
3025.5000    49.0761      22.4103      26.0471      28.3259      332.8929     -99999.0000  0.0196       135.6997     0.1146       
3025.6250    49.1163      22.4082      26.4012      28.2356      379.1926     -99999.0000  0.0200       135.7599     0.1172       
3025.7500    49.1272      22.4256      27.7470      28.1067      416.3346     -99999.0000  0.0201       135.7885     0.1268       
3025.8750    49.1287      22.4871      24.9990      27.9779      440.8038     -99999.0000  0.0201       135.7854     0.1071       
3026.0000    49.1396      22.5041      23.6751      27.8365      453.3366     -99999.0000  0.0202       135.7821     0.0977       
3026.1250    49.1603      22.5084      27.6144      27.7333      433.1600     -99999.0000  0.0204       135.7788     0.1258       
3026.2500    49.1907      22.5383      27.4091      27.6428      414.2283     -99999.0000  0.0207       135.7117     0.1244       
3026.3750    49.2307      22.5807      30.7890      27.5394      397.7864     -99999.0000  0.0211       135.6767     0.1485       
3026.5000    49.2706      22.5978      34.1181      27.4872      398.9188     -99999.0000  0.0214       135.6095     0.1723       
3026.6250    49.2913      22.5958      31.1922      27.4605      411.2205     -99999.0000  0.0216       135.5745     0.1514       
3026.7500    49.3217      22.5935      32.9703      27.4592      395.1361     -99999.0000  0.0219       135.5071     0.1641       
3026.8750    49.3328      22.5982      33.3498      27.4835      373.2768     -99999.0000  0.0220       135.4723     0.1668       
3027.0000    49.3537      22.6153      31.0086      27.5206      359.8285     -99999.0000  0.0222       135.4375     0.1501       
3027.1250    49.3547      22.6191      33.1682      27.4939      342.0230     -99999.0000  0.0222       135.4019     0.1655       
3027.2500    49.4044      22.6368      31.6661      27.3779      335.4722     -99999.0000  0.0227       135.3036     0.1548       
3027.3750    49.3189      22.6285      28.3081      27.1981      375.9923     -99999.0000  0.0219       135.2676     0.1308       
3027.5000    49.2717      22.5884      27.2129      27.0566      384.5008     -99999.0000  0.0215       135.2013     0.1229       
3027.6250    49.3021      22.5225      25.1768      26.9787      394.7695     -99999.0000  0.0217       135.1325     0.1084       
3027.7500    49.3228      22.4954      24.5649      26.9775      426.7106     -99999.0000  0.0219       135.0988     0.1040       
3027.8750    49.1791      22.4685      26.1395      27.0274      455.2979     -99999.0000  0.0206       135.0317     0.1153       
3028.0000    48.9869      22.4346      23.4933      27.0897      478.4096     -99999.0000  0.0188       134.9006     0.0964       
3028.1250    48.7658      22.3881      23.8475      27.1525      469.9192     -99999.0000  0.0168       134.8012     0.0989       
3028.2500    48.5737      22.3672      24.5067      27.2150      490.3292     -99999.0000  0.0150       134.7672     0.1036       
3028.3750    48.5654      22.3650      20.4366      27.1117      511.3267     -99999.0000  0.0149       134.7323     0.0745       
3028.5000    48.7989      22.3629      17.7141      26.8172      484.6548     -99999.0000  0.0171       134.7603     0.0551       
3028.6250    49.0227      22.3550      18.3224      26.6120      456.1394     -99999.0000  0.0192       134.7568     0.0594       
3028.7500    49.3143      22.3341      17.1002      26.5342      466.7560     -99999.0000  0.0218       134.7542     0.0507       
3028.8750    49.6058      22.3383      19.7173      26.5711      480.2218     -99999.0000  0.0245       134.7509     0.0694       
3029.0000    49.9554      22.3553      18.2407      26.6847      452.4608     -99999.0000  0.0277       134.7477     0.0589       
3029.1250    50.1888      22.3787      18.5441      26.7983      432.2120     -99999.0000  0.0298       134.7439     0.0610       
3029.2500    50.1418      22.4722      18.0082      26.9500      425.9424     -99999.0000  0.0294       134.7079     0.0572       
3029.3750    49.9207      22.5400      19.7609      27.0764      410.2166     -99999.0000  0.0274       134.6742     0.0697       
3029.5000    49.7382      22.5953      19.8608      27.2026      393.0400     -99999.0000  0.0257       134.6383     0.0704       
3029.6250    49.6719      22.6377      21.1557      27.1632      379.0374     -99999.0000  0.0251       134.6343     0.0797       
3029.7500    49.7991      22.5784      20.5181      27.0343      392.0578     -99999.0000  0.0263       134.6003     0.0751       
