WELLNAME = well118
STDEP  =  3000.0000    
ENDEP  =  4458.8371    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, CNC, CNL, DEN, GR, RT, SP

#DEPTH       AC           CAL          CNC          CNL          DEN          GR           RT           SP           
3016.2500    51.8858      -99999.0000  -99999.0000  -99999.0000  -99999.0000  12.7157      96.3603      -99999.0000  
3016.3750    50.9306      -99999.0000  -99999.0000  -99999.0000  -99999.0000  12.9699      118.6319     -99999.0000  
3016.5000    50.0816      -99999.0000  -99999.0000  -99999.0000  -99999.0000  13.3259      136.5134     -99999.0000  
3016.6250    56.7291      -99999.0000  -99999.0000  -99999.0000  -99999.0000  13.7581      72.9560      -99999.0000  
3016.7500    63.6854      -99999.0000  -99999.0000  -99999.0000  -99999.0000  12.6421      38.9110      -99999.0000  
3016.8750    68.4516      -99999.0000  -99999.0000  -99999.0000  -99999.0000  11.6025      32.3950      -99999.0000  
3017.0000    66.7269      -99999.0000  -99999.0000  -99999.0000  -99999.0000  10.8165      32.5362      -99999.0000  
3017.1250    61.8460      -99999.0000  -99999.0000  -99999.0000  -99999.0000  9.8276       33.6754      -99999.0000  
3017.2500    55.6050      -99999.0000  -99999.0000  -99999.0000  -99999.0000  8.8894       51.7751      -99999.0000  
3017.3750    49.9533      -99999.0000  -99999.0000  -99999.0000  -99999.0000  7.9513       79.3246      -99999.0000  
3017.5000    49.7049      -99999.0000  -99999.0000  -99999.0000  -99999.0000  8.2311       132.9685     -99999.0000  
3017.6250    51.1811      -99999.0000  -99999.0000  -99999.0000  -99999.0000  8.9677       272.1647     -99999.0000  
3017.7500    51.9915      -99999.0000  -99999.0000  -99999.0000  -99999.0000  8.8163       449.5190     -99999.0000  
3017.8750    51.5187      -99999.0000  -99999.0000  -99999.0000  -99999.0000  8.0559       621.1215     -99999.0000  
3018.0000    51.4511      -99999.0000  -99999.0000  -99999.0000  -99999.0000  7.5998       798.1725     -99999.0000  
3018.1250    51.7695      -99999.0000  -99999.0000  -99999.0000  -99999.0000  9.1994       1002.1494    -99999.0000  
3018.2500    52.1940      -99999.0000  -99999.0000  -99999.0000  -99999.0000  9.9612       1228.8271    -99999.0000  
3018.3750    52.2325      -99999.0000  -99999.0000  -99999.0000  -99999.0000  10.8245      1414.1084    -99999.0000  
3018.5000    51.4413      -99999.0000  -99999.0000  -99999.0000  -99999.0000  11.0536      1567.9963    -99999.0000  
3018.6250    51.0553      -99999.0000  -99999.0000  -99999.0000  -99999.0000  10.0143      1514.4619    -99999.0000  
3018.7500    51.1518      -99999.0000  -99999.0000  -99999.0000  -99999.0000  9.4821       1090.0896    -99999.0000  
3018.8750    50.4185      -99999.0000  -99999.0000  -99999.0000  -99999.0000  8.9500       823.4294     -99999.0000  
3019.0000    50.0325      -99999.0000  -99999.0000  -99999.0000  -99999.0000  8.7982       580.8210     -99999.0000  
3019.1250    50.0517      -99999.0000  -99999.0000  -99999.0000  -99999.0000  9.3825       335.9778     -99999.0000  
3019.2500    52.6665      -99999.0000  -99999.0000  -99999.0000  -99999.0000  10.1453      166.7440     -99999.0000  
3019.3750    55.6092      -99999.0000  -99999.0000  -99999.0000  -99999.0000  10.1453      127.0874     -99999.0000  
3019.5000    57.5580      -99999.0000  -99999.0000  -99999.0000  -99999.0000  10.3996      146.7304     -99999.0000  
3019.6250    56.0519      -99999.0000  -99999.0000  -99999.0000  -99999.0000  10.8574      159.9765     -99999.0000  
3019.7500    54.4320      -99999.0000  -99999.0000  -99999.0000  -99999.0000  11.2389      183.4276     -99999.0000  
3019.8750    52.8110      -99999.0000  -99999.0000  -99999.0000  -99999.0000  11.4423      309.6474     -99999.0000  
3020.0000    51.7978      -99999.0000  -99999.0000  -99999.0000  -99999.0000  11.6713      574.3800     -99999.0000  
3020.1250    52.0390      -99999.0000  -99999.0000  -99999.0000  -99999.0000  11.9003      772.4764     -99999.0000  
3020.2500    52.5118      -99999.0000  -99999.0000  -99999.0000  -99999.0000  11.1652      926.9695     -99999.0000  
3020.3750    52.7530      -99999.0000  -99999.0000  -99999.0000  -99999.0000  10.6078      1069.7668    -99999.0000  
3020.5000    52.3863      -99999.0000  -99999.0000  -99999.0000  -99999.0000  10.3040      1217.0920    -99999.0000  
3020.6250    52.1064      -99999.0000  -99999.0000  -99999.0000  -99999.0000  10.6095      1337.2898    -99999.0000  
3020.7500    51.8072      -99999.0000  -99999.0000  -99999.0000  -99999.0000  10.7114      1443.5139    -99999.0000  
3020.8750    51.6528      -99999.0000  -99999.0000  -99999.0000  -99999.0000  10.7881      1145.7118    -99999.0000  
3021.0000    51.4984      -99999.0000  -99999.0000  -99999.0000  -99999.0000  10.9412      659.8143     -99999.0000  
3021.1250    51.3247      -99999.0000  -99999.0000  -99999.0000  -99999.0000  10.6627      499.3811     -99999.0000  
3021.2500    51.1799      -99999.0000  -99999.0000  -99999.0000  -99999.0000  10.0548      528.2573     -99999.0000  
3021.3750    51.4790      -99999.0000  -99999.0000  -99999.0000  -99999.0000  9.6496       487.6868     -99999.0000  
3021.5000    52.0193      -99999.0000  -99999.0000  -99999.0000  -99999.0000  9.2950       444.3922     -99999.0000  
3021.6250    52.2991      -99999.0000  -99999.0000  -99999.0000  -99999.0000  8.9151       545.8607     -99999.0000  
3021.7500    51.6719      -99999.0000  -99999.0000  -99999.0000  -99999.0000  9.7531       954.3851     -99999.0000  
3021.8750    51.6429      -99999.0000  -99999.0000  -99999.0000  -99999.0000  10.9716      2128.0068    -99999.0000  
3022.0000    51.6235      -99999.0000  -99999.0000  -99999.0000  -99999.0000  12.0125      4666.9331    -99999.0000  
3022.1250    51.1411      -99999.0000  -99999.0000  -99999.0000  -99999.0000  11.8609      7174.4893    -99999.0000  
3022.2500    50.6103      -99999.0000  -99999.0000  -99999.0000  -99999.0000  11.3543      7544.3730    -99999.0000  
3022.3750    50.2629      -99999.0000  -99999.0000  -99999.0000  -99999.0000  11.0251      4444.9829    -99999.0000  
3022.5000    52.2988      -99999.0000  -99999.0000  -99999.0000  -99999.0000  11.7614      173.3568     -99999.0000  
3022.6250    58.0882      -99999.0000  -99999.0000  -99999.0000  -99999.0000  12.5487      56.2954      -99999.0000  
3022.7500    66.3864      -99999.0000  -99999.0000  -99999.0000  -99999.0000  13.0059      34.0055      -99999.0000  
3022.8750    66.2609      -99999.0000  -99999.0000  -99999.0000  -99999.0000  12.7784      27.1120      -99999.0000  
3023.0000    63.0381      -99999.0000  -99999.0000  -99999.0000  -99999.0000  12.0689      26.8079      -99999.0000  
3023.1250    59.3811      -99999.0000  -99999.0000  -99999.0000  -99999.0000  11.6382      31.6880      -99999.0000  
3023.2500    54.7398      -99999.0000  -99999.0000  -99999.0000  -99999.0000  10.8023      51.9053      -99999.0000  
3023.3750    49.3258      -99999.0000  -99999.0000  -99999.0000  -99999.0000  10.6757      93.3600      -99999.0000  
3023.5000    49.9924      -99999.0000  -99999.0000  -99999.0000  -99999.0000  10.1692      149.2183     -99999.0000  
3023.6250    51.1213      -99999.0000  -99999.0000  -99999.0000  -99999.0000  9.7641       228.0523     -99999.0000  
3023.7500    51.3239      -99999.0000  -99999.0000  -99999.0000  -99999.0000  10.4244      360.4037     -99999.0000  
3023.8750    51.5651      -99999.0000  -99999.0000  -99999.0000  -99999.0000  10.9070      461.6142     -99999.0000  
3024.0000    52.3370      -99999.0000  -99999.0000  -99999.0000  -99999.0000  11.4406      510.2794     -99999.0000  
3024.1250    53.1764      -99999.0000  -99999.0000  -99999.0000  -99999.0000  11.6947      840.7245     -99999.0000  
3024.2500    52.8386      -99999.0000  -99999.0000  -99999.0000  -99999.0000  11.1375      346.1097     -99999.0000  
3024.3750    53.6684      -99999.0000  -99999.0000  -99999.0000  -99999.0000  10.5293      138.4114     -99999.0000  
3024.5000    56.4474      -99999.0000  -99999.0000  -99999.0000  -99999.0000  9.8706       77.2155      -99999.0000  
3024.6250    59.3518      -99999.0000  -99999.0000  -99999.0000  -99999.0000  9.4401       58.3897      -99999.0000  
