WELLNAME = well123
STDEP  =  3500.0000    
ENDEP  =  4513.9375    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, CNL, GR, RT

#DEPTH       AC           CAL          CNL          GR           RT           
3531.8750    46.4530      22.0427      1.2322       29.8166      1516.5682    
3532.0000    46.4996      22.0459      1.1999       27.2559      1461.5326    
3532.1250    46.5457      22.0186      1.1983       26.8821      1230.2733    
3532.2500    46.6385      21.9905      1.1960       25.2714      1142.1534    
3532.3750    46.7329      21.9948      1.2244       24.0409      1085.4063    
3532.5000    46.8753      21.9985      1.2533       23.1912      970.7833     
3532.6250    47.0652      22.0014      1.2821       22.9124      880.4695     
3532.7500    47.1593      22.0047      1.3407       24.3434      1003.7169    
3532.8750    47.2540      22.0081      1.3394       23.7789      1149.5271    
3533.0000    47.2995      22.0122      1.3376       25.0197      1304.2948    
3533.1250    47.2965      22.0166      1.2146       23.6948      1452.4894    
3533.2500    46.9558      22.0203      1.0004       22.9402      1188.9056    
3533.3750    46.6148      22.0239      1.1503       24.5618      1211.7716    
3533.5000    46.4678      22.0277      1.2396       23.6177      1324.5072    
3533.6250    46.6102      22.0324      1.2073       24.7629      1375.3612    
3533.7500    46.8489      22.0678      1.1146       24.8637      1619.8821    
3533.8750    46.9904      22.1015      1.1127       24.4899      2008.3406    
3534.0000    46.9400      22.1053      1.1416       25.5406      1746.6019    
3534.1250    46.5507      22.1091      1.1702       26.8771      1856.6006    
3534.2500    46.0166      22.1436      1.2293       25.9324      1973.2473    
3534.3750    46.2078      22.1790      1.3186       26.8881      2001.8429    
3534.5000    46.6391      22.1826      1.4378       23.4732      1732.8442    
3534.6250    46.8301      22.1861      1.4971       24.4283      1304.0822    
3534.7500    46.7790      22.1899      1.6473       22.5331      976.8746     
3534.8750    46.9209      22.1937      1.7670       21.9680      945.7886     
3535.0000    47.0636      22.1985      1.8861       24.6352      807.3438     
3535.1250    47.5431      22.2025      1.9456       27.6825      803.8693     
3535.2500    47.9272      22.1734      2.0047       25.6934      746.3113     
3535.3750    48.2140      22.1453      2.0031       28.4545      572.2242     
3535.5000    48.0666      22.1489      1.9710       30.4562      459.7148     
3535.6250    47.7257      22.1534      1.8476       30.7472      466.3415     
3535.7500    47.3372      22.1570      1.7244       30.4695      502.6786     
3535.8750    47.2376      22.1279      1.6617       30.2835      559.7965     
3536.0000    47.4280      22.1007      1.6297       28.9580      644.1233     
3536.1250    47.5704      22.1051      1.5979       28.2996      612.1369     
3536.2500    47.3260      22.0777      1.5658       26.9735      653.6619     
3536.3750    47.3721      22.0179      1.5336       26.6936      762.7314     
3536.5000    47.3694      21.9890      1.5317       23.6578      803.2659     
3536.6250    46.9804      21.9609      1.5299       27.2754      873.8541     
3536.7500    46.9294      21.9326      1.5578       26.9960      1098.6985    
3536.8750    47.0232      21.9045      1.5871       30.5185      1294.0509    
3537.0000    47.2134      21.8772      1.6455       28.2432      982.9697     
3537.1250    47.3560      21.8494      1.7048       28.7236      782.3587     
3537.2500    47.4979      21.8209      1.7638       28.3498      851.2012     
3537.3750    47.6403      21.8243      1.8232       30.8262      847.5381     
3537.5000    47.4444      21.8284      1.8822       29.8815      892.5182     
3537.6250    46.9589      21.8326      1.9715       28.8429      953.0333     
3537.7500    47.0530      21.8360      2.0305       28.5618      844.4566     
3537.8750    47.3882      21.8393      2.0592       25.7162      573.5363     
3538.0000    47.7718      21.8427      1.9662       26.0071      448.0099     
3538.1250    48.1070      21.8470      2.0253       23.7318      353.2618     
3538.2500    48.2491      21.8514      2.2664       23.9271      313.0138     
3538.3750    48.0053      21.8540      2.4470       24.0279      297.4472     
3538.5000    47.9060      21.8574      2.6272       24.9841      276.1562     
3538.6250    48.0478      21.8615      2.6862       26.5106      240.1597     
3538.7500    48.1902      21.8649      2.6237       28.2272      211.7990     
3538.8750    48.3323      21.9000      2.5917       26.4283      223.0309     
3539.0000    47.9916      21.9682      2.5901       26.4323      226.2613     
3539.1250    47.9889      22.0038      2.6187       26.7232      239.3662     
3539.2500    48.0347      22.0380      2.5258       28.0608      272.8685     
3539.3750    47.8386      22.0736      2.4026       29.3010      311.0601     
3539.5000    47.5945      22.0773      2.2490       28.0718      329.0887     
3539.6250    47.4955      22.0809      2.0949       28.7423      358.0346     
3539.7500    47.4442      22.0843      2.0026       30.9340      433.6714     
3539.8750    47.4420      22.0877      1.9097       27.3281      530.2310     
3540.0000    47.2944      22.0607      1.8472       26.8581      663.6178     
3540.1250    47.0503      22.0331      1.8152       29.2406      759.9891     
3540.2500    46.8544      22.0045      1.7827       29.0557      870.4183     
3540.3750    46.6103      21.9760      1.7811       26.5897      760.5251     
3540.5000    46.4627      21.9794      1.7793       26.4054      619.5639     
3540.6250    46.7494      21.9835      1.8079       27.2666      602.6703     
3540.7500    47.0364      21.9560      1.8369       26.9872      526.5613     
3540.8750    47.1308      21.9286      1.9260       28.7038      534.1714     
3541.0000    47.2726      21.9320      2.0157       30.6104      617.5475     
3541.1250    47.1736      21.9346      2.1352       27.6693      606.3198     
3541.2500    47.1709      21.9391      2.2547       25.6792      515.1586     
3541.3750    47.1199      21.9434      2.4051       23.1188      510.5167     
3541.5000    47.1654      21.9479      2.5551       23.3141      467.3669     
3541.6250    47.2110      21.9517      2.7353       26.9320      350.0773     
3541.7500    47.5462      21.9862      2.8250       29.7885      241.0882     
3541.8750    48.0748      22.0216      2.9445       27.8934      183.1237     
3542.0000    48.6035      22.0561      3.0036       27.8042      154.1442     
3542.1250    48.2622      22.0906      2.9411       27.4298      141.1099     
3542.2500    47.6801      22.1587      2.7874       31.2372      166.2085     
3542.3750    47.3400      22.2258      2.7252       32.9543      184.2358     
3542.5000    48.0612      22.2603      2.6323       30.2027      173.4517     
3542.6250    48.4453      22.2958      2.6306       27.4523      164.8244     
3542.7500    48.3934      22.3312      2.5984       29.2644      172.7580     
3542.8750    48.0536      22.3674      2.5658       31.4561      155.2410     
3543.0000    47.6646      22.3710      2.5038       32.1266      166.5429     
3543.1250    47.8550      22.4071      2.4718       31.3715      185.4768     
3543.2500    47.9968      22.4424      2.4082       30.5224      211.4396     
3543.3750    47.7050      22.4448      2.3772       32.6185      220.5780     
3543.5000    47.3637      22.4501      2.3443       29.3929      217.5870     
3543.6250    47.3133      22.4853      2.3125       30.7292      241.1963     
3543.7500    47.4071      22.5198      2.2800       28.4535      266.1229     
3543.8750    47.8872      22.5238      2.2483       26.7485      269.9688     
3544.0000    47.9807      22.5277      2.2468       31.5063      275.1513     
3544.1250    47.9780      22.4991      2.2145       29.8964      288.4165     
3544.2500    48.0724      22.4706      2.1827       28.4766      281.8433     
3544.3750    48.3591      22.4749      2.1504       25.3455      269.0865     
3544.5000    48.7426      22.4781      2.1485       24.9711      259.3070     
3544.6250    48.5950      22.4505      2.1167       27.0677      279.5170     
3544.7500    48.1578      22.4230      2.0844       28.2140      309.8475     
3544.8750    47.9139      22.4262      2.0522       31.0709      356.5224     
3545.0000    47.6701      22.3986      1.9894       27.2745      414.0900     
3545.1250    47.7151      22.3709      1.9881       25.0944      436.0702     
3545.2500    47.8084      22.3739      1.9863       26.7170      418.2658     
3545.3750    47.8062      22.3454      1.9847       27.6720      420.3548     
3545.5000    47.5629      22.2862      2.0437       25.7770      509.2098     
3545.6250    47.2222      22.2283      2.1634       27.3028      572.4055     
3545.7500    47.2195      22.2000      2.1009       28.0689      514.3095     
3545.8750    47.6987      22.1708      2.0082       22.9427      369.3930     
3546.0000    48.0827      22.1110      1.9457       24.3740      315.2813     
3546.1250    47.8869      22.0827      1.9439       27.7061      283.2910     
3546.2500    47.5468      22.0553      1.9725       26.8559      324.4608     
3546.3750    47.3021      22.0268      2.0612       28.9531      404.1806     
3546.5000    47.3482      22.0312      2.0905       28.9595      590.0681     
3546.6250    47.5386      22.0353      2.1795       27.5385      803.2068     
3546.7500    47.1979      22.0385      2.2386       27.2592      788.6572     
3546.8750    47.2909      22.0426      2.3585       28.5955      792.5978     
3547.0000    47.4341      22.0454      2.4778       27.8404      654.7928     
3547.1250    47.7211      22.0484      2.5673       26.2311      490.4270     
3547.2500    48.0557      22.0524      2.6570       25.1909      379.5312     
3547.3750    48.2947      22.0561      2.6857       26.3377      323.9436     
3547.5000    48.0988      22.0599      2.4410       27.3883      297.9453     
3547.6250    47.9518      22.0637      2.2571       26.4431      347.6773     
3547.7500    47.7077      22.0357      2.1642       28.0645      394.5073     
3547.8750    47.5599      22.0086      2.2230       28.0703      462.5115     
3548.0000    47.5571      22.0121      2.3125       24.0846      517.5131     
3548.1250    47.6512      22.0148      2.4018       25.8960      448.0062     
3548.2500    47.7931      22.0182      2.4609       22.7656      408.1939     
3548.3750    48.0315      22.0217      2.4893       20.6801      375.4073     
3548.5000    48.1261      22.0268      2.4574       22.2064      361.7752     
3548.6250    48.2679      22.0309      2.3947       22.9725      347.0025     
3548.7500    48.2655      22.0019      2.3018       25.5442      329.7521     
3548.8750    47.8765      21.9738      2.2093       24.9792      365.5510     
