WELLNAME = well99
STDEP  =  3500.0000    
ENDEP  =  4670.4375    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, GR, R1, RT, RXO, SONPHI, SP, VSH1

#DEPTH       AC           CAL          GR           R1           RT           RXO          SONPHI       SP           VSH1         
3516.8750    48.9710      24.4843      17.1050      16.6696      380.6235     237.9473     0.0000       199.8091     0.0000       
3517.0000    47.9867      24.4841      16.7062      16.6693      541.4331     226.0586     0.0000       199.9331     0.0000       
3517.1250    47.1532      24.3842      15.3110      16.4699      819.7745     251.4703     0.0000       200.1195     0.0000       
3517.2500    46.6977      24.2844      15.8089      17.2169      1464.0695    292.3328     0.0000       200.3058     0.0000       
3517.3750    46.6954      24.2843      15.8085      17.6153      3651.4026    334.8883     0.0000       200.4921     0.0000       
3517.5000    46.8442      24.1843      14.5129      16.9176      6194.4321    372.5325     0.0000       200.7407     0.0000       
3517.6250    46.9927      24.1841      15.9074      16.5189      6840.3486    395.1018     0.0000       201.0516     0.0000       
3517.7500    47.1415      24.0842      16.7043      16.8175      6356.8501    395.1491     0.0000       201.3002     0.0000       
3517.8750    47.1389      24.0842      14.6115      16.6679      4792.5093    395.1899     0.0000       201.6109     0.0000       
3518.0000    47.1366      23.9842      14.2127      17.1658      2448.7793    375.4378     0.0000       201.9218     0.0000       
3518.1250    47.0588      23.8845      14.9098      17.7137      2023.5635    348.9119     0.0000       202.1082     0.0000       
3518.2500    46.7544      23.8842      14.9095      17.6636      1806.1465    333.9151     0.0000       202.3568     0.0000       
3518.3750    46.5255      23.7844      15.1084      17.1653      1703.3156    323.1005     0.0000       202.6676     0.0000       
3518.5000    46.4473      23.7842      16.2040      16.4676      1887.8495    310.3502     0.0000       202.9784     0.0000       
3518.6250    46.2940      23.7839      16.0044      16.9158      2092.3386    294.8445     0.0000       203.2893     0.0000       
3518.7500    46.2917      23.8834      14.8084      17.5133      2735.3877    281.1386     0.0000       203.5378     0.0000       
3518.8750    46.5916      24.0824      13.3136      17.5132      3447.1567    272.0337     0.0000       203.7242     0.0000       
3519.0000    47.1178      24.1819      13.3132      16.9649      4994.2261    279.1412     0.0000       203.9106     0.0000       
3519.1250    47.4932      24.2813      13.9108      17.2138      4709.8726    288.5490     0.0000       204.2214     0.0000       
3519.2500    47.3399      24.2811      14.8071      17.0641      4540.5884    291.7736     0.0000       204.5322     0.0000       
3519.3750    47.2613      24.2809      14.8068      17.3130      4313.6724    284.4040     0.0000       204.7186     0.0000       
3519.5000    47.2594      24.2807      14.4079      17.3128      4251.2085    275.1983     0.0000       204.9672     0.0000       
3519.6250    46.9550      24.2805      14.7065      17.0136      4459.3271    266.2861     0.0000       205.2157     0.0000       
3519.7500    46.4240      24.2802      14.6065      16.8640      4729.4814    259.5605     0.0000       205.4020     0.0000       
3519.8750    46.3458      24.1804      14.2077      16.2659      4979.2432    255.8055     0.0000       205.6506     0.0000       
3520.0000    46.6857      24.0805      14.7055      15.7676      5460.5005    255.6344     0.0000       205.8992     0.0000       
3520.1250    47.1397      23.9807      14.6056      15.1197      5985.5278    273.1066     0.0000       206.0233     0.0000       
3520.2500    46.9122      23.7812      13.8081      15.5181      6074.4756    267.1829     0.0000       206.2098     0.0000       
3520.3750    46.3062      23.6813      12.7118      15.9662      6187.3931    258.5281     0.0000       206.4584     0.0000       
3520.5000    46.2302      23.5816      14.1063      16.1653      6419.1069    248.3288     0.0000       206.7069     0.0000       
3520.6250    46.9115      23.3821      14.6042      16.6632      6733.0640    239.4051     0.0000       207.0178     0.0000       
3520.7500    46.3054      23.3819      14.9028      17.0118      6733.6406    230.8022     0.0000       207.2665     0.0000       
3520.8750    45.7752      23.2820      15.1018      17.6592      5944.9961    231.6687     0.0000       207.5151     0.0000       
3521.0000    46.0778      23.2819      15.5996      17.8583      4385.4966    231.6849     0.0000       207.7637     0.0000       
