WELLNAME = well116
STDEP  =  3500.0000    
ENDEP  =  5129.9375    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, CGR, CNL, DEN, GR, K, PE, P_AC, R1, RT, RXO, SGR, SONPHI, SP, TH, U, VSH, VSH1

#DEPTH       AC           CAL          CGR          CNL          DEN          GR           K            PE           P_AC         R1           RT           RXO          SGR          SONPHI       SP           TH           U            VSH          VSH1         
3508.5000    51.4656      23.2999      -99999.0000  -99999.0000  -99999.0000  29.7231      -99999.0000  -99999.0000  53.3239      36.8777      3430.0603    7548.6465    -99999.0000  0.0000       118.1771     -99999.0000  -99999.0000  0.0000       0.0000       
3508.6250    51.3784      23.3001      -99999.0000  -99999.0000  -99999.0000  31.3229      -99999.0000  -99999.0000  53.1325      36.8906      2785.0532    6828.5908    -99999.0000  0.0000       117.7888     -99999.0000  -99999.0000  0.0000       0.0000       
3508.7500    51.3201      23.3195      -99999.0000  -99999.0000  -99999.0000  34.2174      -99999.0000  -99999.0000  53.0046      36.9161      2499.5420    6170.3447    -99999.0000  0.0000       117.2814     -99999.0000  -99999.0000  0.0000       0.0000       
3508.8750    51.2908      23.3262      -99999.0000  -99999.0000  -99999.0000  36.6296      -99999.0000  -99999.0000  52.9403      37.0051      2312.9395    5617.2510    -99999.0000  0.0000       116.7502     -99999.0000  -99999.0000  0.0000       0.0000       
3509.0000    51.3000      23.3265      -99999.0000  -99999.0000  -99999.0000  33.1518      -99999.0000  -99999.0000  52.9606      37.0878      2162.5671    5161.7441    -99999.0000  0.0000       116.2587     -99999.0000  -99999.0000  0.0000       0.0000       
3509.1250    51.3768      23.3650      -99999.0000  -99999.0000  -99999.0000  34.7515      -99999.0000  -99999.0000  53.1291      37.2022      2552.2544    5510.8223    -99999.0000  0.0000       115.7830     -99999.0000  -99999.0000  0.0000       0.0000       
3509.2500    51.4536      23.3780      -99999.0000  -99999.0000  -99999.0000  33.4570      -99999.0000  -99999.0000  53.2976      37.2975      3132.6963    6042.0459    -99999.0000  0.0000       115.2360     -99999.0000  -99999.0000  0.0000       0.0000       
3509.3750    51.5112      23.3783      -99999.0000  -99999.0000  -99999.0000  33.3304      -99999.0000  -99999.0000  53.4238      37.3929      3909.6223    6624.1772    -99999.0000  0.0000       114.7365     -99999.0000  -99999.0000  0.0000       0.0000       
3509.5000    51.4915      23.3787      -99999.0000  -99999.0000  -99999.0000  34.9555      -99999.0000  -99999.0000  53.3806      37.5199      3809.2051    7150.2173    -99999.0000  0.0000       114.3323     -99999.0000  -99999.0000  0.0000       0.0000       
3509.6250    51.4139      23.3981      -99999.0000  -99999.0000  -99999.0000  34.1942      -99999.0000  -99999.0000  53.2105      37.5709      3321.6992    7446.0049    -99999.0000  0.0000       113.9994     -99999.0000  -99999.0000  0.0000       0.0000       
3509.7500    51.4328      23.4048      -99999.0000  -99999.0000  -99999.0000  33.5852      -99999.0000  -99999.0000  53.2519      37.5456      2938.0898    6503.0176    -99999.0000  0.0000       113.7539     -99999.0000  -99999.0000  0.0000       0.0000       
3509.8750    51.5193      23.4051      -99999.0000  -99999.0000  -99999.0000  35.7181      -99999.0000  -99999.0000  53.4415      37.8123      2648.7095    5833.8701    -99999.0000  0.0000       113.5797     -99999.0000  -99999.0000  0.0000       0.0000       
3510.0000    51.6250      23.4055      -99999.0000  -99999.0000  -99999.0000  34.4744      -99999.0000  -99999.0000  53.6736      37.8950      2416.7300    5441.0557    -99999.0000  0.0000       113.5642     -99999.0000  -99999.0000  0.0000       0.0000       
3510.1250    51.7694      23.3868      -99999.0000  -99999.0000  -99999.0000  36.6327      -99999.0000  -99999.0000  53.9902      37.4699      2289.3062    5149.1655    -99999.0000  0.0000       113.7629     -99999.0000  -99999.0000  0.0000       0.0000       
3510.2500    51.8655      23.3808      -99999.0000  -99999.0000  -99999.0000  34.0688      -99999.0000  -99999.0000  54.2011      37.5462      2175.4722    4895.8789    -99999.0000  0.0000       114.1599     -99999.0000  -99999.0000  0.0000       0.0000       
3510.3750    51.7879      23.3621      -99999.0000  -99999.0000  -99999.0000  36.6079      -99999.0000  -99999.0000  54.0309      37.8446      2068.4360    4718.2681    -99999.0000  0.0000       114.6760     -99999.0000  -99999.0000  0.0000       0.0000       
