WELLNAME = well60
STDEP  =  3675.0000    
ENDEP  =  4820.0000    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, GR, P_AC, R1, RT, RXO, SONPHI, SP, VSH, VSH1

#DEPTH       AC           CAL          GR           P_AC         R1           RT           RXO          SONPHI       SP           VSH          VSH1         
3694.3750    52.9420      25.3086      35.9432      53.9651      20.6341      -99999.0000  -99999.0000  0.0639       142.6319     0.1853       18.5309      
3694.5000    52.4600      25.2843      37.2142      53.5711      20.5203      353.8303     -99999.0000  0.0597       142.6490     0.1944       19.4387      
3694.6250    52.2296      25.2726      37.8244      53.3828      20.3938      354.1472     288.9967     0.0577       142.6662     0.1987       19.8745      
3694.7500    52.7541      25.2736      38.6378      53.8115      20.2800      353.8011     288.9875     0.0623       142.6837     0.2046       20.4556      
3694.8750    53.0463      25.2745      39.4261      54.0503      20.1663      353.1220     287.3551     0.0648       142.7169     0.2102       21.0186      
3695.0000    52.9707      25.2755      40.0364      53.9885      20.0398      352.7775     285.1974     0.0000       142.7339     0.2145       21.4546      
3695.1250    52.9534      25.2891      37.7265      53.9743      19.8627      352.7618     283.3209     0.0640       142.7355     0.1980       19.8047      
3695.2500    52.8778      25.3027      35.0359      53.9126      19.7362      352.0866     281.4572     0.0633       142.7525     0.1788       17.8828      
3695.3750    52.7829      25.3040      33.6148      53.8350      19.6351      352.7304     279.3435     0.0625       142.7691     0.1687       16.8677      
3695.5000    52.6496      25.3049      31.8129      53.7261      19.6102      352.7161     276.7262     0.0614       142.7702     0.1558       15.5806      
3695.6250    52.5543      25.3056      30.0366      53.6482      19.6233      352.3701     273.8787     0.0605       142.7874     0.1431       14.3119      
3695.7500    52.4207      25.3069      29.1486      53.5390      19.6874      352.0232     269.7919     0.0594       142.8045     0.1368       13.6775      
3695.8750    52.2679      25.3078      28.3116      53.4141      19.7894      352.0095     264.7730     0.0581       142.7900     0.1308       13.0797      
