WELLNAME = well84
STDEP  =  3500.0000    
ENDEP  =  4555.9242    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, GR, R1, RT, RXO, SONPHI, SP, VSH1

#DEPTH       AC           CAL          GR           R1           RT           RXO          SONPHI       SP           VSH1         
3519.8750    50.9077      28.4849      17.8114      117.4799     381.9059     96.9071      0.0000       291.4091     0.0000       
3520.0000    51.2926      28.7417      16.8610      119.1393     310.5286     96.8021      0.0000       291.2158     0.0000       
3520.1250    51.7498      28.6807      14.7670      121.0528     283.1791     94.4635      0.0000       291.0996     0.0000       
3520.2500    51.9651      28.3657      15.5968      123.2205     305.3436     88.3710      0.0000       290.9849     0.0000       
3520.3750    51.8907      28.4320      17.3155      124.1165     300.7008     82.0821      0.0000       290.8305     0.0000       
3520.5000    51.8891      28.6574      17.1278      124.7597     270.7756     77.0486      0.0000       290.7161     0.0000       
3520.6250    51.9597      28.5648      17.4488      126.1641     261.7009     73.0045      0.0000       290.6400     0.0000       
3520.7500    51.7644      28.4083      17.4520      127.5691     298.5200     74.6840      0.0000       290.4856     0.0000       
3520.8750    51.3275      28.3158      18.7262      128.0845     347.3066     82.1988      0.0000       290.4096     0.0000       
3521.0000    50.7458      28.3503      19.3013      128.0907     406.4633     77.9819      0.0000       290.3348     0.0000       
3521.1250    50.1402      28.3849      19.3678      128.7332     559.4311     83.9271      0.0000       290.1807     0.0000       
3521.2500    49.7277      28.4194      19.6252      128.8672     780.1437     92.1457      0.0000       290.0653     0.0000       
3521.3750    49.6534      28.5808      18.0397      128.8742     930.9364     95.8889      0.0000       289.9504     0.0000       
3521.5000    49.7241      28.8377      19.1232      126.8476     1078.5360    94.0071      0.0000       289.8751     0.0000       
3521.6250    49.8672      29.2536      20.3974      123.8035     1096.3103    87.6585      0.0000       289.7601     0.0000       
3521.7500    50.0586      29.8920      20.9725      119.1080     1102.8567    73.4559      0.0000       289.6446     0.0000       
3521.8750    50.2985      30.4347      20.3399      115.4285     1144.1967    61.6804      0.0000       289.5699     0.0000       
3522.0000    50.7074      31.2953      21.1057      110.7331     1363.8381    54.6524      0.0000       289.4541     0.0000       
3522.1250    51.1642      32.1240      20.9183      106.5461     1562.3053    49.6308      0.0000       289.3399     0.0000       
3522.2500    51.0900      32.1903      18.9515      103.3751     2016.5344    50.3376      0.0000       289.2641     0.0000       
3522.3750    51.2817      32.5425      19.9712      99.6965      2541.0791    49.9301      0.0000       289.1898     0.0000       
3522.5000    51.6422      33.3078      18.8941      94.3657      3656.4131    47.5384      0.0000       289.0740     0.0000       
3522.6250    51.8576      34.0096      18.5796      90.9407      4959.9956    43.7028      0.0000       288.9592     0.0000       
3522.7500    51.5412      34.0441      20.1079      92.7271      7081.0337    42.1935      0.0000       288.8835     0.0000       
3522.8750    50.9595      34.0150      19.6027      95.1489      8409.3018    44.6821      0.0000       288.7294     0.0000       
3523.0000    50.6682      34.3353      19.9234      95.0289      8558.4922    44.9525      0.0000       288.5746     0.0000       
3523.1250    50.0623      34.4969      19.6088      92.1123      8559.3887    50.2447      0.0000       288.4196     0.0000       
3523.2500    49.6982      34.0548      19.1037      92.7549      8570.2715    58.9345      0.0000       288.2650     0.0000       
3523.3750    49.7689      33.4537      18.8527      93.7787      8581.2031    68.8040      0.0000       288.1501     0.0000       
3523.5000    49.9118      33.8377      19.5546      93.4046      8582.1484    76.9608      0.0000       288.0345     0.0000       
3523.6250    50.0309      34.8571      19.3672      93.9200      8582.9609    75.3545      0.0000       287.8802     0.0000       
3523.7500    50.1499      34.5421      19.1798      96.5959      8563.6191    71.9876      0.0000       287.7254     0.0000       
3523.8750    50.1721      34.8308      17.5309      100.1607     8554.4238    83.5907      0.0000       287.5316     0.0000       
3524.0000    50.1460      34.3567      19.0591      103.3449     8525.3613    95.2133      0.0000       287.3375     0.0000       
3524.1250    50.0475      32.8980      18.1724      105.8936     8526.0449    78.5576      0.0000       287.1818     0.0000       
3524.2500    49.7800      32.4560      17.4132      106.9174     8516.7607    68.6393      0.0000       286.9482     0.0000       
3524.3750    49.3433      32.3000      16.2726      105.7807     8457.9619    70.6279      0.0000       286.7142     0.0000       
3524.5000    48.9550      31.5399      16.8477      105.1523     8419.0830    60.8465      0.0000       286.4407     0.0000       
3524.6250    48.7117      31.2885      16.7871      103.7608     8410.1475    64.7502      0.0000       286.2855     0.0000       
3524.7500    48.7580      32.2444      17.1080      103.1324     8410.9883    63.1084      0.0000       286.0513     0.0000       
3524.8750    48.9739      33.1049      18.0643      102.6312     8421.6396    58.8255      0.0000       285.8570     0.0000       
3525.0000    49.4069      33.8701      19.5290      99.9689      8432.2988    60.7129      0.0000       285.6631     0.0000       
3525.1250    49.9609      34.4128      20.8030      96.5449      8452.9912    72.8892      0.0000       285.4689     0.0000       
3525.2500    50.8770      34.4154      18.7091      96.8062      8453.7500    78.3363      0.0000       285.3929     0.0000       
3525.3750    51.4305      33.3063      19.0300      97.8299      8434.7832    73.2937      0.0000       285.1591     0.0000       
3525.5000    51.0178      33.0866      19.1603      99.3619      8435.5430    65.9612      0.0000       285.0041     0.0000       
3525.6250    50.3877      32.9941      19.8624      100.3849     8299.3877    61.1035      0.0000       284.8895     0.0000       
3525.7500    49.7820      32.7424      19.5479      101.5356     7656.5376    59.4227      0.0000       284.7349     0.0000       
3525.8750    49.2731      32.1733      18.4071      102.0510     6106.4946    53.0584      0.0000       284.6201     0.0000       
3526.0000    49.5370      32.2396      18.7280      101.9310     6190.5049    49.0829      0.0000       284.5445     0.0000       
3526.1250    49.9220      32.9095      18.3500      100.1591     7383.7759    48.8011      0.0000       284.3898     0.0000       
3526.2500    49.9681      33.4523      18.9886      96.3533      8431.8057    47.3423      0.0000       284.1955     0.0000       
3526.3750    50.1356      33.7090      20.3896      91.9128      8541.0371    44.4953      0.0000       284.0804     0.0000       
3526.5000    50.4234      33.3940      22.1083      90.6493      8501.8115    46.7565      0.0000       284.0448     0.0000       
3526.6250    50.2040      32.0308      20.2686      91.9264      8472.7500    50.3326      0.0000       284.0495     0.0000       
3526.7500    50.0331      31.8112      18.7470      92.0606      8463.7129    49.6928      0.0000       284.1330     0.0000       
3526.8750    49.9106      31.8772      20.0209      92.9572      8464.5176    48.7734      0.0000       284.1367     0.0000       
3527.0000    50.0296      31.4671      19.7065      94.4892      8485.2441    46.7623      0.0000       284.1410     0.0000       
3527.1250    50.3419      31.1838      20.3447      97.1647      8486.1338    44.4670      0.0000       284.0266     0.0000       
3527.2500    50.0982      31.0913      21.3009      94.8839      8476.8945    44.7468      0.0000       283.8716     0.0000       
3527.3750    49.8308      30.5221      21.6853      92.9850      8467.8125    50.2602      0.0000       283.7170     0.0000       
3527.5000    49.7081      29.5082      21.1167      96.0417      8458.6797    54.4277      0.0000       283.6018     0.0000       
3527.6250    49.6822      30.1781      20.7387      99.6067      8429.9014    55.1342      0.0000       283.4874     0.0000       
3527.7500    49.6562      30.4032      19.2168      101.9010     8430.7422    56.1168      0.0000       283.4120     0.0000       
3527.8750    49.8718      29.6758      19.2200      103.0516     8451.2607    50.6339      0.0000       283.3378     0.0000       
3528.0000    50.3532      29.3602      19.7950      102.9309     8442.1426    37.3808      0.0000       283.3015     0.0000       
3528.1250    50.3994      29.7442      18.8453      101.9215     8413.3809    35.9115      0.0000       283.2661     0.0000       
3528.2500    50.2527      29.9693      19.7376      102.4368     8345.3770    38.7058      0.0000       283.2701     0.0000       
3528.3750    50.2509      30.1944      21.2656      104.9852     8143.1978    40.9787      0.0000       283.3137     0.0000       
3528.5000    50.4907      30.3560      22.9841      108.4229     7735.6709    53.6949      0.0000       283.4371     0.0000       
3528.6250    50.5370      30.3585      23.2414      111.0982     6832.6274    71.1780      0.0000       283.5209     0.0000       
3528.7500    50.2452      30.1707      21.9740      111.6135     6122.0503    64.7435      0.0000       283.6046     0.0000       
3528.8750    50.3160      29.7288      21.2145      112.2552     5238.0239    68.2407      0.0000       283.7679     0.0000       
3529.0000    50.3865      29.2551      23.0601      114.0410     4414.7847    57.6647      0.0000       283.8514     0.0000       
3529.1250    50.3606      29.7342      24.7789      114.5563     3714.1194    55.6040      0.0000       284.0542     0.0000       
3529.2500    50.1896      29.8321      25.9888      112.9115     4478.3965    63.4254      0.0000       284.2971     0.0000       
3529.3750    49.9945      29.4855      27.8978      110.6308     5141.0308    71.0095      0.0000       284.4991     0.0000       
3529.5000    49.7510      29.5201      27.0116      109.7485     5831.3511    67.5118      0.0000       284.6618     0.0000       
3529.6250    49.5560      29.7769      25.2360      107.2144     6828.9087    55.6792      0.0000       284.8255     0.0000       
3529.7500    49.4091      30.1289      24.1589      107.9838     6593.9106    53.3421      0.0000       284.9088     0.0000       
3529.8750    49.4800      30.6080      22.5739      107.7360     6167.2534    62.3279      0.0000       284.9524     0.0000       
3530.0000    49.5829      30.8329      20.7983      105.9643     6393.5293    68.2030      0.0000       284.6782     0.0000       
3530.1250    49.8252      30.0726      23.0867      106.9846     6470.2422    58.5373      0.0000       284.4823     0.0000       
3530.2500    50.1555      30.4231      23.6597      107.8762     6026.8521    65.3302      0.0000       284.6826     0.0000       
3530.3750    50.0024      30.1385      23.4068      109.0225     5077.8682    61.0718      0.0000       284.7639     0.0000       
3530.5000    49.9945      29.4727      22.3281      109.1523     4149.1484    62.0964      0.0000       284.9641     0.0000       
3530.6250    50.1805      29.4739      22.0118      107.8844     4043.3774    72.0447      0.0000       285.1640     0.0000       
3530.7500    50.4630      29.5386      22.7119      105.8540     4783.3398    82.9027      0.0000       285.2851     0.0000       
