WELLNAME = well92
STDEP  =  3000.0000    
ENDEP  =  4553.7051    
LEVEL  =  0.1250       
CURNAMES  AC, CAL, CGR_DM, GR, K, MSFL, PE, R1, RT, RXO, SGR, SONPHI, SP, TH, U, VSH1

#DEPTH       AC           CAL          CGR_DM       GR           K            MSFL         PE           R1           RT           RXO          SGR          SONPHI       SP           TH           U            VSH1         
3011.2500    -99999.0000  24.3430      0.0000       26.1988      0.0000       0.0000       0.0000       9.3334       -99999.0000  -99999.0000  0.0000       0.0000       64.0971      0.0000       0.0000       0.0000       
3011.3750    -99999.0000  24.3425      0.0000       23.4615      0.0000       0.0000       0.0000       9.4091       -99999.0000  -99999.0000  0.0000       0.0000       64.0328      0.0000       0.0000       0.0000       
3011.5000    -99999.0000  24.2910      0.0000       20.2934      0.0000       0.0000       0.0000       9.5354       -99999.0000  -99999.0000  0.0000       0.0000       64.0161      0.0000       0.0000       0.0000       
3011.6250    -99999.0000  24.2523      0.0000       17.4547      0.0000       0.0000       0.0000       9.7250       -99999.0000  -99999.0000  0.0000       0.0000       63.9912      0.0000       0.0000       0.0000       
3011.7500    -99999.0000  24.1882      0.0000       15.1228      0.0000       0.0000       0.0000       9.9337       -99999.0000  -99999.0000  0.0000       0.0000       63.9587      0.0000       0.0000       0.0000       
3011.8750    -99999.0000  24.1240      0.0000       13.6271      0.0000       0.0000       0.0000       10.2310      -99999.0000  -99999.0000  0.0000       0.0000       63.9496      0.0000       0.0000       0.0000       
3012.0000    -99999.0000  24.0599      0.0000       12.9675      0.0000       0.0000       0.0000       10.5157      -99999.0000  -99999.0000  0.0000       0.0000       63.9251      0.0000       0.0000       0.0000       
3012.1250    -99999.0000  24.0213      0.0000       13.3215      0.0000       0.0000       0.0000       10.9016      -99999.0000  -99999.0000  0.0000       0.0000       63.9164      0.0000       0.0000       0.0000       
3012.2500    -99999.0000  23.9445      0.0000       13.6754      0.0000       0.0000       0.0000       11.1991      -99999.0000  -99999.0000  0.0000       0.0000       63.8914      0.0000       0.0000       0.0000       
3012.3750    -99999.0000  23.8424      0.0000       14.3841      0.0000       0.0000       0.0000       11.5977      -99999.0000  -99999.0000  0.0000       0.0000       63.8826      0.0000       0.0000       0.0000       
3012.5000    -99999.0000  23.7531      0.0000       13.0911      0.0000       0.0000       0.0000       11.8697      -99999.0000  -99999.0000  0.0000       0.0000       63.8816      0.0000       0.0000       0.0000       
3012.6250    -99999.0000  23.6129      0.0000       11.8994      0.0000       0.0000       0.0000       12.1544      -99999.0000  -99999.0000  0.0000       0.0000       63.8570      0.0000       0.0000       0.0000       
3012.7500    -99999.0000  23.5236      0.0000       11.9747      0.0000       0.0000       0.0000       12.3884      -99999.0000  -99999.0000  0.0000       0.0000       63.8482      0.0000       0.0000       0.0000       
3012.8750    -99999.0000  23.4341      0.0000       12.3286      0.0000       0.0000       0.0000       12.5083      -99999.0000  -99999.0000  0.0000       0.0000       63.8470      0.0000       0.0000       0.0000       
3013.0000    -99999.0000  23.3700      0.0000       12.6827      0.0000       0.0000       0.0000       12.4383      -99999.0000  -99999.0000  0.0000       0.0000       63.8462      0.0000       0.0000       0.0000       
3013.1250    -99999.0000  23.3440      0.0000       13.1125      0.0000       0.0000       0.0000       12.3366      -99999.0000  -99999.0000  0.0000       0.0000       63.8927      0.0000       0.0000       0.0000       
3013.2500    -99999.0000  23.2924      0.0000       13.5423      0.0000       0.0000       0.0000       12.2791      -99999.0000  -99999.0000  0.0000       0.0000       63.9788      0.0000       0.0000       0.0000       
3013.3750    -99999.0000  23.2538      0.0000       13.8204      0.0000       0.0000       0.0000       12.3104      -99999.0000  -99999.0000  0.0000       0.0000       64.0967      0.0000       0.0000       0.0000       
3013.5000    -99999.0000  23.2404      0.0000       14.1238      0.0000       0.0000       0.0000       12.5761      -99999.0000  -99999.0000  0.0000       0.0000       64.1987      0.0000       0.0000       0.0000       
3013.6250    -99999.0000  23.2395      0.0000       14.5030      0.0000       0.0000       0.0000       12.9621      -99999.0000  -99999.0000  0.0000       0.0000       64.3403      0.0000       0.0000       0.0000       
3013.7500    -99999.0000  23.2389      0.0000       14.7811      0.0000       0.0000       0.0000       13.3038      -99999.0000  -99999.0000  0.0000       0.0000       64.5214      0.0000       0.0000       0.0000       
3013.8750    -99999.0000  23.2255      0.0000       15.1098      0.0000       0.0000       0.0000       13.7215      -99999.0000  -99999.0000  0.0000       0.0000       64.6630      0.0000       0.0000       0.0000       
3014.0000    -99999.0000  23.2121      0.0000       15.4131      0.0000       0.0000       0.0000       14.1075      -99999.0000  -99999.0000  0.0000       0.0000       64.8361      0.0000       0.0000       0.0000       
3014.1250    -99999.0000  23.2113      0.0000       15.7925      0.0000       0.0000       0.0000       14.4935      -99999.0000  -99999.0000  0.0000       0.0000       65.0250      0.0000       0.0000       0.0000       
3014.2500    -99999.0000  23.2106      0.0000       16.5012      0.0000       0.0000       0.0000       14.8795      -99999.0000  -99999.0000  0.0000       0.0000       65.1667      0.0000       0.0000       0.0000       
